# Marca,NomeModelo,PrefixoMarca,Linha,Ano
# NomeModelo = so o modelo (ex.: G24, A54, Note 13, 15 Pro). PrefixoMarca = digitacao de mercado.
# Linhas Xiaomi: RED/PC/MI. Samsung: A/M/S. iPhone: (vazia). Motorola: E/G/Edge.
# Realme: somente lancados/vendidos no Brasil (oficial Realme BR / imprensa); Linha = N/GT/C/Note.
Marca,NomeModelo,PrefixoMarca,Linha,Ano
Motorola,E3,Moto,E,2016
Motorola,E3 Power,Moto,E,2016
Motorola,E4,Moto,E,2017
Motorola,E4 Plus,Moto,E,2017
Motorola,E5,Moto,E,2018
Motorola,E5 Play,Moto,E,2018
Motorola,E5 Plus,Moto,E,2018
Motorola,E6,Moto,E,2019
Motorola,E6 Play,Moto,E,2019
Motorola,E6 Plus,Moto,E,2019
Motorola,E6s,Moto,E,2020
Motorola,E6i,Moto,E,2020
Motorola,E7,Moto,E,2020
Motorola,E7 Plus,Moto,E,2020
Motorola,E7 Power,Moto,E,2021
Motorola,E7i Power,Moto,E,2021
Motorola,E20,Moto,E,2021
Motorola,E30,Moto,E,2021
Motorola,E40,Moto,E,2021
Motorola,E22,Moto,E,2022
Motorola,E22i,Moto,E,2022
Motorola,E32,Moto,E,2022
Motorola,E32s,Moto,E,2022
Motorola,E13,Moto,E,2023
Motorola,E14,Moto,E,2024
Motorola,E15,Moto,E,2025
Motorola,G4,Moto,G,2016
Motorola,G4 Plus,Moto,G,2016
Motorola,G4 Play,Moto,G,2016
Motorola,G5,Moto,G,2017
Motorola,G5 Plus,Moto,G,2017
Motorola,G5S,Moto,G,2017
Motorola,G5S Plus,Moto,G,2017
Motorola,G6,Moto,G,2018
Motorola,G6 Play,Moto,G,2018
Motorola,G6 Plus,Moto,G,2018
Motorola,G7,Moto,G,2019
Motorola,G7 Play,Moto,G,2019
Motorola,G7 Power,Moto,G,2019
Motorola,G7 Plus,Moto,G,2019
Motorola,G8,Moto,G,2019
Motorola,G8 Play,Moto,G,2019
Motorola,G8 Plus,Moto,G,2019
Motorola,G8 Power,Moto,G,2020
Motorola,G8 Power Lite,Moto,G,2020
Motorola,G9 Play,Moto,G,2020
Motorola,G9 Power,Moto,G,2020
Motorola,G9 Plus,Moto,G,2020
Motorola,G 5G,Moto,G,2020
Motorola,G 5G Plus,Moto,G,2020
Motorola,G10,Moto,G,2021
Motorola,G10 Power,Moto,G,2021
Motorola,G20,Moto,G,2021
Motorola,G30,Moto,G,2021
Motorola,G31,Moto,G,2021
Motorola,G41,Moto,G,2021
Motorola,G50,Moto,G,2021
Motorola,G50 5G,Moto,G,2021
Motorola,G51,Moto,G,2021
Motorola,G60,Moto,G,2021
